"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250701","경부선","서동탄","1570","1242","20250704",""
"20250701","경부선","광명","3737","3163","20250704",""
"20250701","경원선","이촌(국립중앙박물관)","4202","3371","20250704",""
"20250701","경원선","서빙고","2405","2202","20250704",""
"20250701","경원선","한남","3804","3638","20250704",""
"20250701","경원선","옥수","39","33","20250704",""
"20250701","경원선","응봉","1877","1617","20250704",""
"20250701","경원선","왕십리(성동구청)","16155","16450","20250704",""
"20250701","경원선","청량리(서울시립대입구)","16000","16837","20250704",""
"20250701","경원선","외대앞","9760","9465","20250704",""
"20250701","경원선","신이문","8852","8300","20250704",""
"20250701","경원선","석계","7249","8490","20250704",""
"20250701","경원선","광운대","8411","7898","20250704",""
"20250701","경원선","월계","6952","6465","20250704",""
"20250701","경원선","녹천","4688","3973","20250704",""
"20250701","경원선","방학","10427","9946","20250704",""
"20250701","경원선","도봉","6264","5997","20250704",""
"20250701","경원선","도봉산","7362","4536","20250704",""
"20250701","경원선","망월사","7996","8117","20250704",""
"20250701","경원선","회룡","13890","13645","20250704",""
"20250701","경원선","의정부","18956","19039","20250704",""
"20250701","경원선","가능","6792","6686","20250704",""
"20250701","경원선","녹양","4474","4409","20250704",""
"20250701","경원선","양주","7254","7019","20250704",""
"20250701","경원선","덕계","6349","5884","20250704",""
"20250701","경원선","덕정","6347","6153","20250704",""
"20250701","경원선","지행","6521","6542","20250704",""
"20250701","경원선","동두천중앙","3186","3076","20250704",""
"20250701","경원선","보산","1553","1419","20250704",""
"20250701","경원선","동두천","2000","1942","20250704",""
"20250701","경원선","소요산","1726","1722","20250704",""
"20250701","경원선","청산","200","150","20250704",""
"20250701","경원선","전곡","1173","974","20250704",""
"20250701","경원선","연천","1171","1039","20250704",""
"20250701","경의선","서울역","3812","4944","20250704",""
"20250701","경의선","신촌","1083","1345","20250704",""
"20250701","경의선","효창공원앞","3491","3938","20250704",""
"20250701","경의선","공덕","4517","3618","20250704",""
"20250701","경의선","서강대","2218","2197","20250704",""
"20250701","경의선","홍대입구","1954","2292","20250704",""
"20250701","경의선","가좌","6272","6031","20250704",""
"20250701","경의선","디지털미디어시티","2750","2633","20250704",""
"20250701","경의선","수색","3567","3602","20250704",""
"20250701","경의선","한국항공대","2157","2063","20250704",""
"20250701","경의선","강매","3503","2959","20250704",""
"20250701","경의선","행신","7937","8051","20250704",""
"20250701","경의선","능곡","4850","4522","20250704",""
"20250701","경의선","곡산","672","708","20250704",""
"20250701","경의선","백마","7621","7361","20250704",""
"20250701","경의선","풍산","6585","6221","20250704",""
"20250701","경의선","일산","11512","11285","20250704",""
"20250701","경의선","탄현","8206","7851","20250704",""
"20250701","경의선","야당","8201","8382","20250704",""
"20250701","경의선","운정","7234","6811","20250704",""
"20250701","경의선","금릉","5245","4990","20250704",""
"20250701","경의선","금촌","7044","6715","20250704",""
"20250701","경의선","월롱","2152","1992","20250704",""
"20250701","경의선","파주","1274","931","20250704",""
"20250701","경의선","문산","5692","5344","20250704",""
"20250701","경의선","임진강","13","6","20250704",""
"20250701","경의선","운천","2","5","20250704",""
"20250701","경인선","개봉","23263","23170","20250704",""
"20250701","경인선","오류동","12024","11332","20250704",""
"20250701","경인선","역곡","25817","26119","20250704",""
"20250701","경인선","부천","31043","30845","20250704",""
"20250701","경인선","송내","27332","27072","20250704",""
"20250701","경인선","부평","29396","30352","20250704",""
"20250701","경인선","백운","7623","7456","20250704",""
"20250701","경인선","동암","15589","15658","20250704",""
"20250701","경인선","주안","18079","16314","20250704",""
"20250701","경인선","제물포","10961","10559","20250704",""
"20250701","경인선","동인천","13658","12750","20250704",""
"20250701","경인선","인천","3689","3004","20250704",""
"20250701","경인선","구일","6783","6718","20250704",""
"20250701","경인선","소사","7529","7205","20250704",""
"20250701","경인선","부개","9093","8416","20250704",""
"20250701","경인선","간석","5992","5623","20250704",""
"20250701","경인선","도원","3678","3672","20250704",""
"20250701","경인선","온수(성공회대입구)","6463","6276","20250704",""
"20250701","경인선","중동","9761","9086","20250704",""
"20250701","경인선","도화","4456","4097","20250704",""
"20250701","경춘선","신내","3203","3020","20250704",""
"20250701","경춘선","갈매","2882","2530","20250704",""
"20250701","경춘선","별내","2608","2388","20250704",""
"20250701","경춘선","퇴계원","3575","3278","20250704",""
"20250701","경춘선","사릉","2172","2098","20250704",""
"20250701","경춘선","금곡","1759","1733","20250704",""
"20250701","경춘선","평내호평","6479","6385","20250704",""
"20250701","경춘선","천마산","1625","1469","20250704",""
"20250701","경춘선","마석","3980","3873","20250704",""
"20250701","경춘선","대성리","1180","1034","20250704",""
"20250701","경춘선","청평","1909","1827","20250704",""
"20250701","경춘선","상천","253","247","20250704",""
"20250701","경춘선","가평","2169","2079","20250704",""
"20250701","경춘선","굴봉산","123","103","20250704",""
"20250701","경춘선","백양리","88","117","20250704",""
"20250701","경춘선","강촌","394","418","20250704",""
"20250701","경춘선","김유정","377","385","20250704",""
"20250701","경춘선","남춘천","2482","2524","20250704",""
"20250701","경춘선","춘천","1298","1144","20250704",""
"20250701","공항철도 1호선","서울역","11461","10262","20250704",""
"20250701","공항철도 1호선","공덕","3319","4240","20250704",""
"20250701","공항철도 1호선","홍대입구","13611","13302","20250704",""
"20250701","공항철도 1호선","디지털미디어시티","15977","14793","20250704",""
"20250701","공항철도 1호선","마곡나루(서울식물원)","14144","13374","20250704",""
"20250701","공항철도 1호선","김포공항","9912","5886","20250704",""
"20250701","공항철도 1호선","계양","10160","9710","20250704",""
"20250701","공항철도 1호선","검암","6525","6682","20250704",""
"20250701","공항철도 1호선","청라국제도시","7767","7291","20250704",""
"20250701","공항철도 1호선","운서","9755","10214","20250704",""
"20250701","공항철도 1호선","공항화물청사","2060","2259","20250704",""
"20250701","공항철도 1호선","인천공항1터미널","14266","13460","20250704",""
"20250701","공항철도 1호선","인천공항2터미널","7847","6301","20250704",""
"20250701","공항철도 1호선","영종","4502","4596","20250704",""
"20250701","과천선","선바위","8081","7277","20250704",""
"20250701","과천선","경마공원","1592","1539","20250704",""
"20250701","과천선","대공원","3431","3490","20250704",""
"20250701","과천선","과천","6119","5679","20250704",""
"20250701","과천선","정부과천청사","14965","16039","20250704",""
"20250701","과천선","인덕원","27398","27888","20250704",""
"20250701","과천선","평촌","19610","19049","20250704",""
"20250701","과천선","범계","29909","29584","20250704",""
"20250701","분당선","선릉","15111","22810","20250704",""
"20250701","분당선","한티","16450","17455","20250704",""
"20250701","분당선","도곡","8346","8678","20250704",""
"20250701","분당선","구룡","3865","3899","20250704",""
"20250701","분당선","개포동","4638","4817","20250704",""
"20250701","분당선","대모산입구","6465","6195","20250704",""
"20250701","분당선","수서","18387","19133","20250704",""
"20250701","분당선","복정","3","0","20250704",""
"20250701","분당선","수원","7768","7167","20250704",""
"20250701","분당선","서울숲","12844","13273","20250704",""
"20250701","분당선","압구정로데오","19681","21381","20250704",""
"20250701","분당선","강남구청","10627","12329","20250704",""
"20250701","분당선","선정릉","8542","8903","20250704",""
