시군구,단지명,전용면적(㎡),거래금액(만원),층,건축년도,도로명
인천광역시 연수구 송도동,더샵엑스포6단지,118.2142,"93,000",14,2009,컨벤시아대로42번길 96
대구광역시 수성구 수성동1가,태왕아너스클럽,100.2135,"44,850",6,2005,달구벌대로 2260
부산광역시 북구 구포동,유림노르웨이숲,84.9149,"26,500",20,2005,낙동북로 737
광주광역시 북구 문흥동,문흥제일파크,49.95,"10,100",13,1994,천지인로 191
울산광역시 울주군 상북면 향산리,청구가든,51.51,"5,000",4,1990,상북로 17-11
부산광역시 남구 대연동,대연SKVIEWHills,84.9984,"82,500",9,2018,수영로 261
경기도 수원시 영통구 영통동,벽적골주공휴먼시아8단지,49.59,"31,500",6,1997,영통로290번길 26
서울특별시 노원구 하계동,하계1청구,84.6,"85,000",4,1997,한글비석로 91
전북특별자치도 전주시 완산구 태평동,태평아이파크,74.8998,"49,900",22,2022,태진로 35
강원특별자치도 원주시 단구동,세경웰러스,84.7396,"17,500",5,2005,단구로 424
전북특별자치도 군산시 대명동,현대메트로타워2차,84.9648,"19,900",19,2016,구암3.1로 30
전북특별자치도 전주시 완산구 평화동1가,"전주평화근로복지,주공임대아파트(평화주공1단지,평화주공3단지)",44.94,"5,700",6,1992,덕적골2길 10
전북특별자치도 고창군 고창읍 월곡리,월곡주공,49.71,"14,000",14,2000,월곡1길 43
강원특별자치도 강릉시 노암동,노암한라,59.976,"13,500",4,1994,노암길42번길 28
전북특별자치도 군산시 나운동,현대아파트,118.21,"25,200",3,1998,나운안1길 24
전북특별자치도 전주시 덕진구 송천동2가,송천주공,59.99,"15,000",6,1998,붓내3길 29
전북특별자치도 익산시 부송동,부송우남,49.77,"4,000",1,1995,무왕로26길 11-5
전북특별자치도 전주시 덕진구 만성동,골드클래스,84.9525,"53,850",12,2018,만성로 181
전북특별자치도 익산시 어양동,엘드수목토,84.9687,"27,000",9,2008,무왕로19길 18
강원특별자치도 원주시 단구동,청솔7차,59.85,"11,000",11,2002,남원로 494
전북특별자치도 전주시 덕진구 송천동2가,대명궁궐,59.49,"8,300",8,1992,시천로 43
경상남도 거제시 고현동,고현주공,39.69,"6,500",2,1989,고현로13길 30-8
강원특별자치도 강릉시 유천동,엘에이치선수촌8단지,74.88,"42,500",23,2018,선수촌로 113
